Test Case ID,Test Case Name,Input,Input Length Type,Expected Output,Actual Output,Status,What is covered by the test,Accuracy Justification / Issue Description
Pos_Fun_0001,Basic verb - running,mama dhuwanawaa,S,මම දුවනවා,මම දුවනවා,Pass,"• Daily activity
• Simple sentence / Present tense
• S (≤30 characters)
• Accuracy validation","Translation is accurate. Correct Sinhala letters and spacing."
Pos_Fun_0002,Simple farewell,gihin ennam,S,ගිහින් එන්නම්,ගිහින් එන්නම්,Pass,"• Farewell
• Simple sentence / Future tense
• S (≤30 characters)
• Accuracy validation","Accurate translation. Polite phrase translated well."
Pos_Fun_0003,Asking about food,kaama tiyenawada?,S,කෑම තියෙනවද?,කෑම තියෙනවද?,Pass,"• Question / Food
• Interrogative (question)
• S (≤30 characters)
• Accuracy validation","Question correctly converted to Sinhala."
Pos_Fun_0004,Stating location - market,mama poLa giya,S,මම පොළ ගියා,මම පොළ ගියා,Pass,"• Daily conversation / Place
• Past tense / Singular pronoun
• S (≤30 characters)
• Accuracy validation","Place name and past tense correctly resolved."
Pos_Fun_0005,Weather description,adha wessa wenawaa,S,අද වැස්ස වෙනවා,අද වැස්ස වෙනවා,Pass,"• Weather / Daily conversation
• Simple sentence / Present tense
• S (≤30 characters)
• Accuracy validation","Weather phrase accurately converted."
Pos_Fun_0006,Expressing like,mata meka kamathiyee,S,මට මේක කැමතියි,මට මේක කැමතියි,Pass,"• Emotion / Preference
• Simple sentence / Expressing feeling
• S (≤30 characters)
• Accuracy validation","Emotion/preference translated properly."
Pos_Fun_0007,Writing action,mama liyanawaa,S,මම ලියනවා,මම ලියනවා,Pass,"• Daily activity
• Simple sentence / Present tense
• S (≤30 characters)
• Accuracy validation","Accurate translation of continuous verb."
Pos_Fun_0008,Question - what,mokadha?,S,මොකද?,මොකද?,Pass,"• Question
• Interrogative (what)
• S (≤30 characters)
• Accuracy validation","Question syntax is perfectly converted."
Pos_Fun_0009,Question - why,aeyi?,S,ඇයි?,ඇයි?,Pass,"• Question
• Interrogative (why)
• S (≤30 characters)
• Accuracy validation","Question correctly converted to Sinhala."
Pos_Fun_0010,Agreeing - yes okay,ow hondha,S,ඔව් හොඳ,ඔව් හොඳ,Pass,"• Response / Agreement
• Simple sentence
• S (≤30 characters)
• Accuracy validation","Proper translation of agreement phrase."
Pos_Fun_0011,Cooking action,amma uyanawaa,S,අම්මා උයනවා,අම්මා උයනවා,Pass,"• Daily activity / Family
• Simple sentence / Present tense
• S (≤30 characters)
• Accuracy validation","Family phrase and cooking verb properly transliterated."
Pos_Fun_0012,Going to work,thaaththa waradata yanawaa,S,තාත්තා වැරදට යනවා,තාත්තා වැරදට යනවා,Pass,"• Daily conversation / Family
• Simple sentence / Present tense
• S (≤30 characters)
• Accuracy validation","Family member syntax appropriately captured."
Pos_Fun_0013,Buying something,mama peena ekak gannawaa,S,මම පීනා එකක් ගන්නවා,මම පීනා එකක් ගන්නවා,Pass,"• Shopping / Transaction
• Simple sentence / Present tense
• S (≤30 characters)
• Accuracy validation","Transaction grammar handled well."
